Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Ливиал таблетки 28 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыТиболон",Тиболон,None,2 883 ₽,https://366.ru/p/livial-tab-2-5mg-28-5886/,https://media.366.ru/sys_master/product/h38/h74/8818152734750.jpg
Ливарол суппозитории вагинальные 0.4 г 5 шт,"НИЖФАРМ, РоссияКетоконазол",Кетоконазол,None,728 ₽,https://366.ru/p/livarol-supp-vag-400mg-5-5883/,https://media.366.ru/sys_master/product/h12/h1b/10057705881630.png
Марвелон таблетки 150 мкг + 30 мкг 21 шт,"МСД ФАРМАСЬЮТИКАЛС, ИрландияДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,1 787 ₽,https://366.ru/p/marvelon-tab-150mkg-30mkg-21-6126/,https://media.366.ru/sys_master/product/hc6/h08/8820381351966.jpg
Мастодинон капли 100 мл,"Bionorica, ГерманияГомеопатический состав",Гомеопатический состав,None,1 129 ₽,https://366.ru/p/mastodinon-kapli-100ml-6169/,https://media.366.ru/sys_master/product/hf6/h83/9667011608606.png
Мастодинон капли 50 мл,"Bionorica, ГерманияГомеопатический состав",Гомеопатический состав,None,740 ₽,https://366.ru/p/mastodinon-kapli-50ml-6170/,https://media.366.ru/sys_master/product/hbb/h89/9667012722718.png
Мерсилон таблетки 21 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,1 896 ₽,https://366.ru/p/mersilon-tab-150mkg-20mkg-21-6259/,https://media.366.ru/sys_master/product/h8a/h61/8826781663262.jpg
Метрогил гель вагинальный 30 г,"ЮНИК, ИндияМетронидазол",Метронидазол,None,252 ₽,https://366.ru/p/metrogil-vag-gel-1-30g-6305/,https://media.366.ru/sys_master/product/h07/h47/8818099978270.jpg
Монтавит гель вагинальный 20 г,"Montavit, АвстрияГидроксиэтилцеллюлоза",Гидроксиэтилцеллюлоза,None,332 ₽,https://366.ru/p/montavit-gel-vag-gel-20g-6537/,https://media.366.ru/sys_master/product/h8c/h21/8818110988318.jpg
Нистатин суппозитории вагинальные 250000ед N10,"БИОТЭК, РоссияНистатин",Нистатин,None,151 ₽,https://366.ru/p/nistatin-supp-vag-250000ed-10-6955/,https://media.366.ru/sys_master/product/h00/h5f/8818285543454.jpg
Нистатин суппозитории ректальные 500000 ед 10 шт,"БИОТЭК, РоссияНистатин",Нистатин,None,141 ₽,https://366.ru/p/nistatin-supp-rekt-500000ed-10-6960/,https://media.366.ru/sys_master/product/h88/had/8820425621534.jpg
Новинет таблетки 21 шт,"Гедеон Рихтер, ВенгрияДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,643 ₽,https://366.ru/p/novinet-tab-21-7048/,https://media.366.ru/sys_master/product/hc0/hf6/8817319084062.jpg
Новинет таблетки 63 шт,"Гедеон Рихтер, ВенгрияДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,1 495 ₽,https://366.ru/p/novinet-tab-21kh3-7049/,https://media.366.ru/sys_master/product/ha9/h40/8817319575582.jpg
Овестин таблетки 2 мг 30 шт,"АСПЕН ФАРМА, НидерландыЭстриол",Эстриол,None,1 500 ₽,https://366.ru/p/ovestin-tab-2mg-30-7177/,https://media.366.ru/sys_master/product/hf8/hd1/9897889136670.jpg
Овестин суппозитории вагинальные 15 шт,"АСПЕН ФАРМА, НидерландыЭстриол",Эстриол,None,1 378 ₽,https://366.ru/p/ovestin-supp-vag-0-5mg-15-7175/,https://media.366.ru/sys_master/product/h3b/h14/8817324982302.jpg
Окситоцин раствор 5 ме/мл ампулы 1 мл 5 шт,"Гедеон Рихтер, ВенгрияОкситоцин",Окситоцин,None,69 ₽,https://366.ru/p/oksitocinrikht-rr-v-v-v-m-5me-1ml-amp5-7225/,https://media.366.ru/sys_master/product/h87/h19/8820630749214.jpg
Оргаметрил таблетки 30 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыЛинестренол",Линестренол,None,3 429 ₽,https://366.ru/p/orgametril-tab-5mg-30-7287/,https://media.366.ru/sys_master/product/h0c/h63/8818061410334.jpg
Осарбон суппозитории вагинальные 0.25 г 10 шт,"НИЖФАРМ, РоссияАцетарсол",Ацетарсол,None,187 ₽,https://366.ru/p/osarbon-supp-vag-10-7312/,https://media.366.ru/sys_master/product/ha3/h43/10057712762910.png
Полижинакс капсулы вагинальные 6 шт,"Innothera Chouzy, ФранцияНеомицин + Нистатин + Полимиксин B",Неомицин + Нистатин + Полимиксин B,None,480 ₽,https://366.ru/p/polizhinaks-vag-kaps-6-8088/,https://media.366.ru/sys_master/product/hce/ha5/8826850082846.jpg
"Постинор таблетки 0,75 мг 2 шт","Гедеон Рихтер, ВенгрияЛевоноргестрел",Левоноргестрел,None,626 ₽,https://366.ru/p/postinor-tab-0-75mg-2-8154/,https://media.366.ru/sys_master/product/h25/had/8817345265694.jpg
"Прогестерон раствор масляный 2,5% 1 мл 10 шт","ДАЛЬХИМФАРМ, РоссияПрогестерон",Прогестерон,None,1 075 ₽,https://366.ru/p/progesteron-amp-2-5-1ml-10-8482/,https://media.366.ru/sys_master/product/h23/h56/8817346609182.jpg
