Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Агалатес таблетки 2 шт,"ТЕВА, ЧехияКаберголин",Каберголин,None,721 ₽,https://366.ru/p/agalates-tab-0-5mg-2-33381/,https://media.366.ru/sys_master/product/h2d/hd6/8818341740574.jpg
Нео-пенотран форте суппозитории вагинальные 7 шт,"АЦИНО РУС, ТурцияМетронидазол + Миконазол",Метронидазол + Миконазол,None,1 171 ₽,https://366.ru/p/neopenotran-forte-supp-vag-7-33542/,https://media.366.ru/sys_master/product/hca/ha4/9768792653854.jpg
Новаринг кольцо вагинальные саше 3 шт,"МСД ФАРМАСЬЮТИКАЛС, ИрландияЭтоногестрел + Этинилэстрадиол",Этоногестрел + Этинилэстрадиол,None,4 266 ₽,https://366.ru/p/novaring-vag-kolco-3-34004/,https://media.366.ru/sys_master/product/hbb/ha8/8816264085534.jpg
"Бусерелин спрей назальный 0,15 мг/доза флакон 17,5 мл","ФАРМ-СИНТЕЗ, РоссияБусерелин",Бусерелин,None,1 050 ₽,https://366.ru/p/buserelin-sprej-0-15mg-doza-17-5ml-34243/,https://media.366.ru/sys_master/product/h6f/h76/8818704678942.jpg
Лактинет таблетки 28 шт,"Гедеон Рихтер, ВенгрияДезогестрел",Дезогестрел,None,1 149 ₽,https://366.ru/p/laktinet-tab-p-pl-ob-28-34254/,https://media.366.ru/sys_master/product/h06/h86/8816271556638.jpg
Ливарол суппозитории вагинальные 0.4 г 10 шт,"НИЖФАРМ, РоссияКетоконазол",Кетоконазол,None,1 073 ₽,https://366.ru/p/livarol-supp-vag-400mg-10-34375/,https://media.366.ru/sys_master/product/h0b/hf1/10057646702622.png
Климаксан гомеопатический таблетки 40 шт,"МАТЕРИА МЕДИКА, РоссияГранулы Cimicifuga racemosa (Цимицифуга рацемоза) С200, Apis (Апис) С200, Lachesis (Лахезис) С50","Гранулы Cimicifuga racemosa (Цимицифуга рацемоза) С200, Apis (Апис) С200, Lachesis (Лахезис) С50",None,200 ₽,https://366.ru/p/klimaksan-tab-40-34520/,https://media.366.ru/sys_master/product/h3d/h53/8816287350814.jpg
Гино-певарил суппозитории вагинальные 150 мг 3 шт,"Johnson & Johnson, ПортугалияЭконазол",Эконазол,None,504 ₽,https://366.ru/p/ginopevaril-supp-vag-150mg-3-34536/,https://media.366.ru/sys_master/product/hcf/ha5/8818206179358.jpg
Мидиана таблетки 21 шт,"Гедеон Рихтер, ВенгрияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,951 ₽,https://366.ru/p/midiana-tab-p-pl-ob-21-34866/,https://media.366.ru/sys_master/product/hb3/hf2/8816314712094.jpg
Прожестожель гель наружный 1% 80 г,"БЕЗЕН, БельгияПрогестерон",Прогестерон,None,1 293 ₽,https://366.ru/p/prozhestozhel-gel-d-naruzh-pr-1-80g-appl-35039/,https://media.366.ru/sys_master/product/hc7/h85/8816326737950.jpg
Дюфастон таблетки 10 мг 20 шт,"Abbott Laboratories EPD, НидерландыДидрогестерон",Дидрогестерон,None,627 ₽,https://366.ru/p/djufaston-tab-p-o-10mg-20-35035/,https://media.366.ru/sys_master/product/h98/h11/8825827950622.jpg
Гинофорт крем вагинальный с аппликатором 20 мг/г 5 г,"Гедеон Рихтер, ВенгрияБутоконазол",Бутоконазол,None,836 ₽,https://366.ru/p/ginofort-vag-krem-2-5g-35048/,https://media.366.ru/sys_master/product/hcf/h47/8817650532382.jpg
Пимафуцин суппозитории вагинальные 100 мг 6 шт,"ЛЕО ФАРМА, ИталияНатамицин",Натамицин,None,547 ₽,https://366.ru/p/pimafucin-supp-vag-100mg-6-35098/,https://media.366.ru/sys_master/product/hd8/h6b/8816329916446.jpg
Гинофлор Э таблетки вагинальные 6 шт,"ИНВАР, Швейцария",None,None,950 ₽,https://366.ru/p/ginoflor-e-tab-vagin-6-35233/,https://media.366.ru/sys_master/product/h69/hdd/8834872377374.jpg
Флуомизин таблетки вагинальные 10 мг 6 шт,"ИНВАР, ШвейцарияДеквалиния хлорид",Деквалиния хлорид,None,713 ₽,https://366.ru/p/fluomizin-tab-vagin-10mg-6-35232/,https://media.366.ru/sys_master/product/h80/h56/8816337125406.jpg
Лактагель гель вагинальный 5 мл 7 шт,"Orion, Швеция",None,None,1 046 ₽,https://366.ru/p/laktagel-gel-vaginalnyj-5ml-7-35211/,https://media.366.ru/sys_master/product/h18/hb5/8816336273438.jpg
Тержинан таблетки вагинальные 10 шт,"РУСФИК, ФранцияТернидазол + Неомицина сульфат",Тернидазол + Неомицина сульфат,None,687 ₽,https://366.ru/p/terzhinan-tab-vag-10-35262/,https://media.366.ru/sys_master/product/hc5/h37/8816339189790.jpg
Тержинан таблетки вагинальные 6 шт,"РУСФИК, ФранцияТернидазол + Неомицина сульфат",Тернидазол + Неомицина сульфат,None,631 ₽,https://366.ru/p/terzhinan-tab-vag-6-35364/,https://media.366.ru/sys_master/product/h35/hb1/8816340533278.jpg
Клайра таблетки 28 шт,"БАЙЕР, ГерманияДиеногест + Эстрадиола валерат",Диеногест + Эстрадиола валерат,None,1 428 ₽,https://366.ru/p/klajra-tab-p-pl-ob-28-35505/,https://media.366.ru/sys_master/product/h7e/h8a/8816345186334.jpg
Триквилар драже 21 шт,"АЛВОГЕН, ГерманияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,765 ₽,https://366.ru/p/trikvilar-dr-21-36497/,https://media.366.ru/sys_master/product/h0a/he4/8825897386014.jpg
Новаринг кольцо вагинальное 1 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыЭтоногестрел + Этинилэстрадиол",Этоногестрел + Этинилэстрадиол,None,1 706 ₽,https://366.ru/p/novaring-vag-kolco-1-36573/,https://media.366.ru/sys_master/product/h04/h48/8816382443550.jpg
Бусерелин-лонг ФС лиофилизат для суспензии 3.75 мг,"НАТИВА, РоссияБусерелин",Бусерелин,None,3 993 ₽,https://366.ru/p/buserelinlongfs-liof-d-pr-susp-3-75mg-36819/,https://media.366.ru/sys_master/product/h1a/h8a/8901622071326.jpg
Микрогинон драже 21 шт,"АЛВОГЕН, ГерманияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,555 ₽,https://366.ru/p/mikroginon-dr-21-36935/,https://media.366.ru/sys_master/product/h35/ha5/8818214666270.jpg
Мамоклам таблетки 100 мг 40 шт,"МЕГА-ФАРМ, РоссияСубстанция ""Клам"" + Йод","Субстанция ""Клам"" + Йод",None,959 ₽,https://366.ru/p/mamoklam-tab-p-pl-ob-100mg-40-37849/,https://media.366.ru/sys_master/product/hf3/he5/8818344493086.jpg
Ледибон таблетки 84 шт,"САНОФИ, ЧехияТиболон",Тиболон,None,2 481 ₽,https://366.ru/p/ledibon-tab-2-5mg-84-38462/,https://media.366.ru/sys_master/product/h69/h39/8816452108318.jpg
Импланон НКСТ имплантаты 68 мг 1 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыЭтоногестрел",Этоногестрел,None,11 658 ₽,https://366.ru/p/implanon-implantat-igla-ster-68mg-1-38779/,https://media.366.ru/sys_master/product/h66/h47/8837336563742.jpg
"Ледибон таблетки 2,5 мг 28 шт","САНОФИ, ЧехияТиболон",Тиболон,None,979 ₽,https://366.ru/p/ledibon-tab-2-5mg-28-38848/,https://media.366.ru/sys_master/product/h8c/h16/8817722359838.jpg
Логест таблетки 63 шт,"БАЙЕР, ФранцияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,2 429 ₽,https://366.ru/p/logest-tab-p-o-20mkg-75mkg-21kh3-38959/,https://media.366.ru/sys_master/product/ha0/h2c/8816470229022.jpg
Логест таблетки 21 шт,"БАЙЕР, ФранцияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,1 038 ₽,https://366.ru/p/logest-tab-p-o-20mkg-75mkg-21-38958/,https://media.366.ru/sys_master/product/h4b/h33/8818160533534.jpg
"Солковагин раствор для местного применения флаконы 0,5 мл 2 шт","МЕДА ФАРМА, ШвейцарияАзотная кислота + Уксусная кислота + Щавелевой кислоты дигидрат + Цинка нитрата гексагидрат",Азотная кислота + Уксусная кислота + Щавелевой кислоты дигидрат + Цинка нитрата гексагидрат,None,2 407 ₽,https://366.ru/p/solkovagin-rr-0-5ml-2-38993/,https://media.366.ru/sys_master/product/h3b/hfb/8816471801886.jpg
"Димиа таблетки 3 мг + 0,02 мг 28 шт","Гедеон Рихтер, ВенгрияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,884 ₽,https://366.ru/p/dimia-tab-3mg-0-02mg-p-pl-ob-28-39123/,https://media.366.ru/sys_master/product/h7d/hff/8816480092190.jpg
"Зоэли таблетки 2,5 мг + 1,5 мг 28 шт","МСД ФАРМАСЬЮТИКАЛС, ИрландияНомегэстрол + Эстрадиол",Номегэстрол + Эстрадиол,None,1 450 ₽,https://366.ru/p/zoeli-tab-p-pl-ob-28-39202/,https://media.366.ru/sys_master/product/hee/hea/8816483368990.jpg
"Силует таблетки 2 мг + 0,03 мг 63 шт","Гедеон Рихтер, ВенгрияДиеногест + Этинилэстрадиол",Диеногест + Этинилэстрадиол,None,1 998 ₽,https://366.ru/p/siluet-tab-p-pl-ob-2mg-0-03mg-21kh3-39170/,https://media.366.ru/sys_master/product/h41/h2a/8817728225310.jpg
"Силует таблетки 2 мг + 0,03 мг 21 шт","Гедеон Рихтер, ВенгрияДиеногест + Этинилэстрадиол",Диеногест + Этинилэстрадиол,None,914 ₽,https://366.ru/p/siluet-tab-p-pl-ob-2mg-0-03mg-21-39169/,https://media.366.ru/sys_master/product/h1e/h59/8854358687774.jpg
Утрожестан капсулы 200 мг 14 шт,"БЕЗЕН, ТайландПрогестерон",Прогестерон,None,497 ₽,https://366.ru/p/utrozhestan-kaps-200mg-14-39563/,https://media.366.ru/sys_master/product/hd5/h0b/8817734156318.jpg
Залаин суппозитории вагинальные 300 мг 1 шт,"ЭГИС, ВенгрияСертаконазол",Сертаконазол,None,688 ₽,https://366.ru/p/zalain-supp-vag-300mg-1-39605/,https://media.366.ru/sys_master/product/hd2/h57/9935826649118.jpg
"Тантум Роза раствор 0,1% флакон-спринцовка 140 мл 5 шт","АНДЖЕЛИНИ ФРАНЧЕСКО, ИталияБензидамин",Бензидамин,None,1 241 ₽,https://366.ru/p/tantum-roza-rr-vag-sprej-fl-140ml-5-39637/,https://media.366.ru/sys_master/product/h5c/h9c/9883948318750.png
Ярина плюс таблетки 3 x 28 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол + [Кальция левомефолинат]",Дроспиренон + Этинилэстрадиол + [Кальция левомефолинат],None,3 485 ₽,https://366.ru/p/jarina-pljus-tab-p-pl-ob-28kh3-39852/,https://media.366.ru/sys_master/product/hc3/hc1/8816511909918.jpg
Ярина плюс таблетки покрытые пленочной оболочкой 28 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол + [Кальция левомефолинат]",Дроспиренон + Этинилэстрадиол + [Кальция левомефолинат],None,1 496 ₽,https://366.ru/p/jarina-pljus-tab-p-pl-ob-28-39851/,https://media.366.ru/sys_master/product/h65/h4a/8821052932126.jpg
Джес плюс таблетки покрытые пленочной оболочкой 28 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол + [Кальция левомефолинат]",Дроспиренон + Этинилэстрадиол + [Кальция левомефолинат],None,1 406 ₽,https://366.ru/p/dzhes-pljus-tab-p-pl-ob-28-39853/,https://media.366.ru/sys_master/product/hea/h54/8816512401438.jpg
Фемилекс суппозитории вагинальные 100 мг 10 шт,"НИЖФАРМ, РоссияМолочная кислота",Молочная кислота,None,828 ₽,https://366.ru/p/femileks-supp-vag-100mg-10-40161/,https://media.366.ru/sys_master/product/he4/hd6/10106796277790.png
Минизистон драже 21 шт,"БАЙЕР, ГерманияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,624 ₽,https://366.ru/p/miniziston-20-fem-tab-p-o100mkg-20mkg21-40599/,https://media.366.ru/sys_master/product/h75/hb7/8818299764766.jpg
Лактонорм капсулы вагинальные 14 шт,"Фармстандарт+, РоссияЛактобактерии ацидофильные",Лактобактерии ацидофильные,None,840 ₽,https://366.ru/p/laktonorm-kaps-vagin-14-40620/,https://media.366.ru/sys_master/product/h83/hcb/8816546349086.jpg
Мирена спираль внутриматочная 20 мкг/сут,"БАЙЕР, ФинляндияЛевоноргестрел",Левоноргестрел,None,16 157 ₽,https://366.ru/p/mirena-vms-1-40598/,https://media.366.ru/sys_master/product/hc2/hae/8817753980958.jpg
Хлое таблетки 28 шт,"САНОФИ, ЧехияЦипротерон + Этинилэстрадиол",Ципротерон + Этинилэстрадиол,None,809 ₽,https://366.ru/p/khloe-tab-p-pl-ob-28-41279/,https://media.366.ru/sys_master/product/h8a/hf5/8826174603294.jpg
Гексикон суппозитории вагинальные 16 мг 10 шт,"НИЖФАРМ, РоссияХлоргексидин",Хлоргексидин,None,321 ₽,https://366.ru/p/geksikon-supp-vag-16mg-10-41409/,https://media.366.ru/sys_master/product/h92/h87/10106800209950.png
Мидиана таблетки 63 шт,"Гедеон Рихтер, ВенгрияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,2 366 ₽,https://366.ru/p/midiana-tab-p-pl-ob-21kh3-41453/,https://media.366.ru/sys_master/product/h35/h5b/8817774100510.jpg
Клайра таблетки 84 шт,"БАЙЕР, ГерманияДиеногест + Эстрадиола валерат",Диеногест + Эстрадиола валерат,None,3 495 ₽,https://366.ru/p/klajra-tab-p-pl-ob-28kh3-41817/,https://media.366.ru/sys_master/product/h82/haa/8821432123422.jpg
"Климара пластырь 3,9 мг/12,5 кв. см 4 шт","БАЙЕР, ГерманияЭстрадиол",Эстрадиол,None,1 364 ₽,https://366.ru/p/klimara-plastyr-4-42041/,https://media.366.ru/sys_master/product/hc6/h5c/8818232328222.jpg
Диане-35 драже 21 шт,"БАЙЕР, ГерманияЦипротерон + Этинилэстрадиол",Ципротерон + Этинилэстрадиол,None,1 306 ₽,https://366.ru/p/diane35-dr-21-42042/,https://media.366.ru/sys_master/product/hd6/h8b/8818232557598.jpg
Ярина таблетки 63 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,3 565 ₽,https://366.ru/p/jarina-tab-p-pl-ob-21kh3-42040/,https://media.366.ru/sys_master/product/h5d/h41/8817783210014.jpg
Эстрожель гель трансдермальный 80 г,"БЕЗЕН, БельгияЭстрадиол",Эстрадиол,None,1 248 ₽,https://366.ru/p/estrozhel-gel-transd-0-6mg-g-80g-appl-42185/,https://media.366.ru/sys_master/product/h55/hbe/9097068314654.jpg
Овестин крем вагинальный 15 г,"АСПЕН ФАРМА, ГерманияЭстриол",Эстриол,None,1 651 ₽,https://366.ru/p/ovestin-vag-krem-1mg-1g-15g-applikator-42268/,https://media.366.ru/sys_master/product/h89/h73/8816642129950.jpg
Жанин драже 21 шт,"БАЙЕР, ГерманияДиеногест + Этинилэстрадиол",Диеногест + Этинилэстрадиол,None,1 271 ₽,https://366.ru/p/zhanin-dr-21-42431/,https://media.366.ru/sys_master/product/h37/h4e/8818160304158.jpg
Ярина таблетки 21 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,1 354 ₽,https://366.ru/p/jarina-tab-p-pl-ob-21-42526/,https://media.366.ru/sys_master/product/h13/had/8816657432606.jpg
Овипол Клио суппозитории вагинальные 15 шт,"АКРИХИН, МолдоваЭстриол",Эстриол,None,767 ₽,https://366.ru/p/ovipol-klio-supp-vag-0-5mg-15-42535/,https://media.366.ru/sys_master/product/h17/h3d/8817795661854.jpg
"Димиа таблетки 3 мг + 0,02 мг 3 х 28 шт","Гедеон Рихтер, ВенгрияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,2 302 ₽,https://366.ru/p/dimia-tab-3mg-0-02mg-p-pl-ob-28kh3-42657/,https://media.366.ru/sys_master/product/h56/h59/8817798840350.jpg
Лактожиналь капсулы вагинальные 14 шт,"БЕЗЕН, ФранцияЛактобактерии",Лактобактерии,None,1 216 ₽,https://366.ru/p/laktozhinal-kaps-vag-14-42926/,https://media.366.ru/sys_master/product/h36/h4f/8816677748766.jpg
Триожиналь капсулы вагинальные 14 шт,"БЕЗЕН, ФранцияЭубиотик + Эстриол + Прогестерон",Эубиотик + Эстриол + Прогестерон,None,1 115 ₽,https://366.ru/p/triozhinal-kaps-vag-14-42927/,https://media.366.ru/sys_master/product/hba/h9d/8826245873694.jpg
Фемоден драже 21 шт,"БАЙЕР, ГерманияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,1 010 ₽,https://366.ru/p/femoden-tab-21-43202/,https://media.366.ru/sys_master/product/h14/hb1/8826255867934.jpg
Нео-пенотран форте Л суппозитории вагинальные 7 шт,"АЦИНО РУС, ТурцияМетронидазол + Миконазол",Метронидазол + Миконазол,None,1 241 ₽,https://366.ru/p/neopenotran-forte-l-supp-vag7-napalch-43566/,https://media.366.ru/sys_master/product/h09/h0c/9768794816542.jpg
Белара таблетки 21 шт,"Гедеон Рихтер, ВенгрияХлормадинон + Этинилэстрадиол",Хлормадинон + Этинилэстрадиол,None,985 ₽,https://366.ru/p/belara-tab-p-pl-ob-2mg-0-03mg-21-43812/,https://media.366.ru/sys_master/product/h80/h85/8818127503390.jpg
Праджисан капсулы 200 мг 10 шт,"РАНБАКСИ, ИндияПрогестерон",Прогестерон,None,269 ₽,https://366.ru/p/pradzhisan-kaps-200mg-10-44705/,https://media.366.ru/sys_master/product/h80/hba/9610753277982.jpg
Бонадэ таблетки N21,"САНОФИ, ЧехияДиеногест + Этинилэстрадиол",Диеногест + Этинилэстрадиол,None,673 ₽,https://366.ru/p/bonade-tab-p-o-2mg-0-03mg-21-45017/,https://media.366.ru/sys_master/product/hdb/heb/8817862967326.jpg
Женале таблетки 1 шт,"ИЗВАРИНО ФАРМА, РоссияМифепристон",Мифепристон,None,555 ₽,https://366.ru/p/zhenale-tab-10mg-1-45120/,https://media.366.ru/sys_master/product/h74/he0/8816831004702.jpg
"Ломексин капсулы вагинальные 0,6 мг 2 шт","РУСФИК, ИталияФентиконазол",Фентиконазол,None,763 ₽,https://366.ru/p/lomeksin-kaps-vag-600mg-2-45136/,https://media.366.ru/sys_master/product/h6c/hda/8816832839710.jpg
Метрогил плюс гель вагинальный с аппликатором 50 г,"ЮНИК, ИндияКлотримазол + Метронидазол",Клотримазол + Метронидазол,None,347 ₽,https://366.ru/p/metrogil-pljus-vag-gel-50g-s-applikat-49136/,https://media.366.ru/sys_master/product/h51/hcd/8816955588638.jpg
Далацин крем вагинальный 2% 40 г 7 шт,"Пфайзер+, Соединенные Штаты АмерикиКлиндамицин",Клиндамицин,None,1 076 ₽,https://366.ru/p/dalacin-vag-krem-2-40g-applik-7-49155/,https://media.366.ru/sys_master/product/hf0/hf0/8818083004446.jpg
Утрожестан капсулы 100 мг 28 шт,"БЕЗЕН, БельгияПрогестерон",Прогестерон,None,473 ₽,https://366.ru/p/utrozhestan-kaps-100mg-28-49211/,https://media.366.ru/sys_master/product/h39/hc0/9218429091870.jpg
Клималанин таблетки 400 мг 30 шт,"РУСФИК, ФранцияБета-аланин",Бета-аланин,None,628 ₽,https://366.ru/p/klimalanin-400mg-30-49415/,https://media.366.ru/sys_master/product/hc3/h4b/8816990486558.jpg
Ломексин капсулы вагинальные 1000 мг 1 шт,"РУСФИК, ИталияФентиконазол",Фентиконазол,None,723 ₽,https://366.ru/p/lomeksin-kaps-vag-1000mg-1-49909/,https://media.366.ru/sys_master/product/had/h40/8826454310942.jpg
Ломексин крем вагинальный 2% 78 г,"РУСФИК, ИталияФентиконазол",Фентиконазол,None,766 ₽,https://366.ru/p/lomeksin-krem-vag-2-78g-49980/,https://media.366.ru/sys_master/product/h18/he3/8817013751838.jpg
Монтавит гель вагинальный 50 г,"Montavit, АвстрияГидроксиэтилцеллюлоза",Гидроксиэтилцеллюлоза,None,524 ₽,https://366.ru/p/montavit-gel-vag-gel-50-g-51279/,https://media.366.ru/sys_master/product/hcc/h93/8817915592734.jpg
Анжелик микро таблетки 28 шт,"БАЙЕР, ГерманияДроспиренон + Эстрадиол",Дроспиренон + Эстрадиол,None,1 636 ₽,https://366.ru/p/anzhelik-mikro-tab-p-pl-ob-28-55067/,https://media.366.ru/sys_master/product/h0f/h23/8818372706334.jpg
Перговерис лиофилизат для приготовления раствора для подкожного введения флаконы,"МЕРК, ШвейцарияФоллитропин альфа",Фоллитропин альфа,None,2 820 ₽,https://366.ru/p/pergoveris-por-150me-75me-1-55173/,https://media.366.ru/sys_master/product/hd1/h62/8818258247710.jpg
Луверис лиофилизат для раствора 75 ме 1 шт,"МЕРК, ШвейцарияЛутропин альфа",Лутропин альфа,None,2 809 ₽,https://366.ru/p/luveris-liof-p-k-75me-1-55536/,https://media.366.ru/sys_master/product/h1d/h84/8818259623966.jpg
"Овитрель раствор шприц 250 мкг/ 0,5 мл 1 шт","ИНДУСТРИЯ ФАРМАСЬЮТИКА СЕРОНО, ИталияХориогонадотропин альфа",Хориогонадотропин альфа,None,3 194 ₽,https://366.ru/p/ovitrel-rr-p-k-250mg-0-5ml-shpric-1-55533/,https://media.366.ru/sys_master/product/h73/hae/9438764269598.png
"Гонал-Ф 22 мкг/0,5 мл 300 МЕ шприц-ручка 1 шт с иглами 8 шт","МЕРК, ИталияФоллитропин альфа",Фоллитропин альфа,None,5 713 ₽,https://366.ru/p/gonalf-liof-d-rra-22mkg-0-5ml-1-8igl-56106/,https://media.366.ru/sys_master/product/h9d/hf3/9301645000734.jpg
"Гонал-Ф лиофилизат для раствора 33 мкг 0,75 мл + 12 игл","ИНДУСТРИЯ ФАРМАСЬЮТИКА СЕРОНО, ИталияФоллитропин альфа",Фоллитропин альфа,None,8 346 ₽,https://366.ru/p/gonalf-liof-d-rra-33mkg-0-75ml-1-12ig-56107/,https://media.366.ru/sys_master/product/h68/h9a/9738988027934.jpg
Метромикон-Нео суппозитории вагинальные 14 шт,"ФАРМАПРИМ, РоссияМетронидазол + Миконазол",Метронидазол + Миконазол,None,536 ₽,https://366.ru/p/metromikonneo-supp-vag-n14-57538/,https://media.366.ru/sys_master/product/hc6/ha5/8818538086430.jpg
Примафунгин суппозитории вагинальные 3 шт,"АНЖЕРО-СУДЖЕНСКИЙ ХФЗ, РоссияНатамицин",Натамицин,None,221 ₽,https://366.ru/p/primafungin-supp-vag-100mg-n3-57786/,https://media.366.ru/sys_master/product/hb7/hd3/8817986306078.jpg
Зоэли таблетки 84 шт,"МСД ФАРМАСЬЮТИКАЛС, ИрландияНомегэстрол + Эстрадиол",Номегэстрол + Эстрадиол,None,3 781 ₽,https://366.ru/p/zoeli-tab-p-pl-ob-84-59885/,https://media.366.ru/sys_master/product/hd1/ha3/8818576392222.jpg
Метрогил плюс гель вагинальные 10мг/гр 50г (+10 аппликаторов),"ЮНИК, ИндияКлотримазол + Метронидазол",Клотримазол + Метронидазол,None,429 ₽,https://366.ru/p/metrogil-pljus-vag-gel-50g-s-applik-10-60738/,https://media.366.ru/sys_master/product/hdf/h85/8817275469854.jpg
Лея таблетки 28 шт,"САНОФИ, ИспанияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,558 ₽,https://366.ru/p/leja-tab-p-pl-ob-28-62439/,https://media.366.ru/sys_master/product/h84/hbf/8818739314718.jpg
"Видора микро таблетки 3 мг + 0,02 мг 28 шт","ЛЕОН ФАРМА, ИспанияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,651 ₽,https://366.ru/p/vidora-mikro-tab-p-p-o-3mg-0-02mg-28-62452/,https://media.366.ru/sys_master/product/h52/h36/9251706765342.jpg
Фемилекс суппозитории вагинальные 100 мг 5 шт,"НИЖФАРМ, РоссияМолочная кислота",Молочная кислота,None,618 ₽,https://366.ru/p/femileks-supp-vag-100mg-5-62554/,https://media.366.ru/sys_master/product/ha8/hf7/10106834157598.png
Спираль вектор-экстра ag 400t,"ВЕКТОР, Россия",None,None,897 ₽,https://366.ru/p/spiral-vektorekstra-ag-400t-62610/,https://media.366.ru/sys_master/product/h40/h15/8819024429086.jpg
Спираль Вектор КВ AGCU 150/250Т,"ВЕКТОР, Россия",None,None,510 ₽,https://366.ru/p/spiral-vektor-kv-agcu-150-250t-62612/,
Кетоконазол суппозитории вагинальные 5 шт,"АЛЬТФАРМ, РоссияКетоконазол",Кетоконазол,None,340 ₽,https://366.ru/p/ketokonazol-supp-400mg-5-62682/,https://media.366.ru/sys_master/product/h9b/h63/8818620203038.jpg
Вагилак капсулы 180 мг 15 шт,"ЭГИС, Дания",None,None,936 ₽,https://366.ru/p/vagilak-kaps-15-30790/,https://media.366.ru/sys_master/product/hb4/h13/9935809937438.jpg
Гинокомфорт интимный гель увлажняющий экстракт мальвы 50 г,"ВЕРТЕКС, Россия",None,None,570 ₽,https://366.ru/p/ginokomfort-gel-d-int-gig-uvl-malv-50g-41736/,https://media.366.ru/sys_master/product/ha6/h20/8837766316062.jpg
Гинокомфорт интимный гель масло чайного дерева 50 г,"ВЕРТЕКС, Россия",None,None,575 ₽,https://366.ru/p/ginokomfort-gel-d-int-gig-chajn-der-50g-41737/,https://media.366.ru/sys_master/product/h70/hde/8837765857310.jpg
Окситоцин-МЭЗ раствор 5МЕ 1 мл ампулы 10 шт,"ДАЛЬХИМФАРМ, РоссияОкситоцин",Окситоцин,None,41 ₽,https://366.ru/p/oksitocin-rr-d-in-5me-ml-amp-1ml-n10-13560/,https://media.366.ru/sys_master/product/ha5/h87/9137668128798.jpg
Ригевидон 21+7 таблетки 84 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,1 060 ₽,https://366.ru/p/rigevidon-21-7-tab-3kh28-24978/,https://media.366.ru/sys_master/product/he4/h91/8839081918494.jpg
Джес Плюс таблетки 84 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол + Кальция левомефолинат",Дроспиренон + Этинилэстрадиол + Кальция левомефолинат,None,3 612 ₽,https://366.ru/p/dzhes-pljus-tab-p-pl-ob-84-67856/,https://media.366.ru/sys_master/product/h8f/hae/8839180025886.jpg
Дюфастон таблетки 10 мг 28 шт,"Abbott Laboratories EPD, НидерландыДидрогестерон",Дидрогестерон,None,876 ₽,https://366.ru/p/djufaston-tab-p-o-10mg-28-67196/,https://media.366.ru/sys_master/product/hd4/hc1/9185941585950.jpg
Экофемин флораваг капсулы N20,Бельгия,None,None,1 075 ₽,https://366.ru/p/ekofemin-floravag-kaps-20-42659/,https://media.366.ru/sys_master/product/h07/h99/8839036076062.jpg
Макмирор комплекс вагинальный крем 30 г,"Dompe Farmaceutici, ИталияНистатин + Нифурател",Нистатин + Нифурател,None,1 112 ₽,https://366.ru/p/makmiror-kompleks-vag-krem-30g-32720/,https://media.366.ru/sys_master/product/h76/hca/8859308982302.jpg
Актиферт crystalmatrix-fs 5мл N2,"ЛАБОРАТОРИЯ ЭМАНСИ, Великобритания",None,None,900 ₽,https://366.ru/p/aktifert-crystalmatrixfs-5ml-2-55171/,https://media.366.ru/sys_master/product/hfd/he8/8859828355102.jpg
"Трипторелин-лонг лиофилизат для инъекций 3,75мг N1",НАТИВА,None,None,3 924 ₽,https://366.ru/p/triptorelinlong-liof-d-in-3-75mg-1-69358/,https://media.366.ru/sys_master/product/hfa/hdf/8859371962398.jpg
