Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Фитоседан сбор успокоительный №2 50 г,"ЕВРОПЛАНТ, РоссияВалерианы корневища+Мяты перечной листья+Пуст",Валерианы корневища+Мяты перечной листья+Пуст,None,136 ₽,https://366.ru/p/fitosedan-2-50g-uspokoitelnyj-sbor-26509/,https://media.366.ru/sys_master/product/h22/h0d/9718571335710.png
Фитогастрол желудочно-кишечный сбор фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияАира корневище + Мяты перечной листья + Ромашки цветки",Аира корневище + Мяты перечной листья + Ромашки цветки,None,173 ₽,https://366.ru/p/fitogastrol-f-p-2g-20-zheludkish-sbor-26510/,https://media.366.ru/sys_master/product/h7f/h8c/9718571794462.png
Фитоседан сбор успокоительный №3 2 г 20 шт,"ЕВРОПЛАНТ, Россия",None,None,168 ₽,https://366.ru/p/fitosedan3-f-p-2g-20-uspokoit-sbor-26511/,https://media.366.ru/sys_master/product/hec/h2a/9718572253214.png
Желчегонный сбор N3 (фитогепатол) фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки + Мяты перечной листья + Пижмы обыкновенной цветки + Ромашки аптечной цветки + Тысячелистника обыкновенного трава",Календулы лекарственной цветки + Мяты перечной листья + Пижмы обыкновенной цветки + Ромашки аптечной цветки + Тысячелистника обыкновенного трава,None,148 ₽,https://366.ru/p/fitogepatol-3-f-p2g-20-zhelchegon-sbor-26512/,https://media.366.ru/sys_master/product/h29/h14/9718572711966.png
Желчегонный сбор N3 (фитогепатол) 50 г,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки + Мяты перечной листья + Пижмы обыкновенной цветки + Ромашки аптечной цветки + Тысячелистника обыкновенного трава",Календулы лекарственной цветки + Мяты перечной листья + Пижмы обыкновенной цветки + Ромашки аптечной цветки + Тысячелистника обыкновенного трава,None,92 ₽,https://366.ru/p/fitogepatol-3-50g-zhelchegonnyj-sbor-26571/,https://media.366.ru/sys_master/product/h04/hca/8821381431326.jpg
Фитонефрол сбор урологический 50 г,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки + Мяты перечной листь",Календулы лекарственной цветки + Мяты перечной листь,None,118 ₽,https://366.ru/p/fitonefrol-50g-urologicheskij-sbor-26572/,https://media.366.ru/sys_master/product/h7c/hf6/9718573170718.png
Грудной сбор №2 (фитопектол) 35 г,"ЕВРОПЛАНТ, РоссияМать-и-мачехи листья + Подорожника листья + Солодки ко",Мать-и-мачехи листья + Подорожника листья + Солодки ко,None,101 ₽,https://366.ru/p/fitopektol-2-grudnoj-sbor-35g-29683/,https://media.366.ru/sys_master/product/he7/h1c/9718574088222.png
Фитоседан сбор успокоительный №2 2 г 20 шт,"ЕВРОПЛАНТ, Россия",None,None,120 ₽,https://366.ru/p/fitosedan2-f-p-2g-20-uspokoit-sbor-30212/,https://media.366.ru/sys_master/product/h2e/h22/9718574546974.png
Ламинария (морская капуста) слоевища 100 г,"ЕВРОПЛАНТ, РоссияЛаминарии слоевища",Ламинарии слоевища,None,212 ₽,https://366.ru/p/laminarii-sloevishha-morskaja-kapusta-100g-31339/,https://media.366.ru/sys_master/product/hc4/hc4/9718575923230.png
Противогеморроидальный сбор (проктофитол) фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияКориандра плоды+Крушины кора+Сенны листья+Солодки",Кориандра плоды+Крушины кора+Сенны листья+Солодки,None,148 ₽,https://366.ru/p/proktofitol-protivogemorr-sbor-f-p2g-20-31762/,https://media.366.ru/sys_master/product/hdb/hc4/9718576381982.png
Зверобой трава 50 г,"ЕВРОПЛАНТ, РоссияЗверобоя продырявленного трава",Зверобоя продырявленного трава,None,76 ₽,https://366.ru/p/zveroboja-trava-50g-31761/,https://media.366.ru/sys_master/product/h36/h3e/9718310699038.png
Рябина плоды 50 г,"ЕВРОПЛАНТ, РоссияРябины плоды",Рябины плоды,None,90 ₽,https://366.ru/p/rjabiny-plody-50g-32171/,https://media.366.ru/sys_master/product/hac/h6f/9718576840734.png
Боярышника плоды 75 г,"ЕВРОПЛАНТ, РоссияБоярышника плоды",Боярышника плоды,None,87 ₽,https://366.ru/p/bojaryshnika-plody-75g-32585/,https://media.366.ru/sys_master/product/h69/h12/9718577299486.png
Эфилипт капли 10 мл,"Белупо Лтд., Хорватия",None,None,388 ₽,https://366.ru/p/efilipt-kapli-10ml-32708/,https://media.366.ru/sys_master/product/h64/hb2/8818478678046.jpg
"Лапчатка (калган) корневища фильтр-пакет 2,5 г 20 шт","ЕВРОПЛАНТ, РоссияЛапчатки прямостоячей корневища",Лапчатки прямостоячей корневища,None,147 ₽,https://366.ru/p/lapchatki-kshhe-f-p-2-5g-20-33536/,https://media.366.ru/sys_master/product/h66/h81/9718579134494.png
Крушина кора 50 г,"ЕВРОПЛАНТ, РоссияКрушины ольховидной кора",Крушины ольховидной кора,None,99 ₽,https://366.ru/p/krushiny-kora-50g-33529/,https://media.366.ru/sys_master/product/h0f/hb9/9718577758238.png
"Пастушья сумка трава фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияПастушьей сумки трава",Пастушьей сумки трава,None,110 ₽,https://366.ru/p/pastushej-sumki-trava-f-p-1-5g-20-33555/,https://media.366.ru/sys_master/product/h70/hdf/9718580051998.png
Сбор желудочный №3 2 г 20 шт,"ЕВРОПЛАНТ, РоссияАира корневища + Валерианы лекарственной корневища",Аира корневища + Валерианы лекарственной корневища,None,143 ₽,https://366.ru/p/zheludochnyj-sbor-3-f-p-2g-20-33556/,https://media.366.ru/sys_master/product/h66/h57/9718580510750.png
"Березы листья фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияБерезы почки",Березы почки,None,99 ₽,https://366.ru/p/berezy-listja-f-p-1-5g-20-34263/,https://media.366.ru/sys_master/product/hc2/h2d/9718580969502.png
Бадяга порошок саше 5 г,"ТУЛЬСКАЯ ФАРМ ФАБРИКА, РоссияБадяга",Бадяга,None,92 ₽,https://366.ru/p/badjaga-por-5g-36418/,https://media.366.ru/sys_master/product/hcc/h61/8821382217758.jpg
Череда трава 50г Красногорск,"ЕВРОПЛАНТ, РоссияЧереды трава",Череды трава,None,146 ₽,https://366.ru/p/cheredy-trava-50g-41957/,https://media.366.ru/sys_master/product/ha1/h47/9718583263262.png
Крапива листья 50г Красногорск,"ЕВРОПЛАНТ, РоссияКрапивы листья",Крапивы листья,None,127 ₽,https://366.ru/p/krapivy-listja-50g-48876/,https://media.366.ru/sys_master/product/hee/h83/9718584180766.png
Ноготки (календула) цветки 50 г,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки",Календулы лекарственной цветки,None,132 ₽,https://366.ru/p/nogotkov-cvetki-50g-48875/,https://media.366.ru/sys_master/product/hd7/h83/9718583722014.png
"Иван-чай напиток чайный фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияВалерианы лекарственной корневища с корнями",Валерианы лекарственной корневища с корнями,None,132 ₽,https://366.ru/p/dushicy-trava-f-p-1-5g-20-59939/,https://media.366.ru/sys_master/product/h21/hda/8817255350302.jpg
"Подорожник большой листья 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияПодорожника большого листья",Подорожника большого листья,None,83 ₽,https://366.ru/p/podorozhnika-listja-f-p-20-59942/,https://media.366.ru/sys_master/product/hcd/hb6/8817256071198.jpg
"Череда трава фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияТимьяна ползучего трава",Тимьяна ползучего трава,None,89 ₽,https://366.ru/p/cheredy-trava-f-p-1-5g-20-59943/,https://media.366.ru/sys_master/product/h54/h49/8817256431646.jpg
Мята перечная листья 50г Иван-чай,"ИВАН-ЧАЙ, РоссияМяты перечной листья",Мяты перечной листья,None,122 ₽,https://366.ru/p/mjaty-perechnoj-listja-50g-59941/,https://media.366.ru/sys_master/product/hac/h6d/8817255710750.jpg
"Иван-чай трава фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияКипрей",Кипрей,None,85 ₽,https://366.ru/p/ivanchaja-trava-f-p-1-5g-20-59947/,https://media.366.ru/sys_master/product/h3c/h10/8826679394334.jpg
Nahrin капсулы красного клевера 80 шт,"Винокома, Швейцария",None,None,3 740 ₽,https://366.ru/p/najrin-krasnyj-klever-kaps-80-62230/,https://media.366.ru/sys_master/product/h8b/h12/8818834047006.jpg
Баланс диабетический чай 2 г 20 шт,"ЕВРОПЛАНТ, Россия",None,None,141 ₽,https://366.ru/p/chaj-balans-f-p-2g-20-11249/,https://media.366.ru/sys_master/product/h76/h93/9718558949406.png
Фитосвечи ушные 2 шт,"РЕАМЕД, Россия",None,None,64 ₽,https://366.ru/p/fitosvecha-ushnaja-klassicheskaja-2-31103/,https://media.366.ru/sys_master/product/h01/h76/8866400206878.jpg
Фитоворонки ушные 2 шт,"РЕАМЕД, Россия",None,None,68 ₽,https://366.ru/p/fitovoronka-ushnaja-klassicheskaja-2-32290/,https://media.366.ru/sys_master/product/h19/h47/8837734006814.jpg
Эвалар Фитолакс чай фильтр-пакет 20 шт,"ЭВАЛАР, Россия",None,None,218 ₽,https://366.ru/p/fitolaks-chaj-f-p-2-1g-20-40133/,https://media.366.ru/sys_master/product/h0e/h5e/9612461309982.jpg
Арфазетин сбор фильтр-пакет 2 г 20 шт,"ЗДОРОВЬЕ, РоссияЗверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник",Зверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник,None,98 ₽,https://366.ru/p/arfazetinek-sbor-f-p-2g-20-53418/,https://media.366.ru/sys_master/product/h87/h29/9093736005662.jpg
Фитера Cупер фиточай лимон 2 г 30 шт,"ФИТЭРА, Россия",None,None,109 ₽,https://366.ru/p/fitera-super-sl-fitochaj-f-p2g-30-limon-56722/,https://media.366.ru/sys_master/product/ha9/hed/8819677069342.jpg
"Летящая ласточка чай земляника фильтр-пакет 3,2г N20","ЛЮЙШАНЬЦЗЮ, Китайская Народная Республика",None,None,321 ₽,https://366.ru/p/chaj-letjashhaja-lastochka-zemljanika-3g-20-57479/,https://media.366.ru/sys_master/product/hb4/h9e/8819719274526.jpg
"Софора японская фиточай 1,5 г 20 шт","СОИК, Россия",None,None,166 ₽,https://366.ru/p/sofora-japonskaja-fitochaj-1-5g-20-62325/,https://media.366.ru/sys_master/product/h14/h4e/8819246268446.jpg
Элекасол сбор 50 г,"Красногорсклексредства, РоссияКалендулы лекарственной цветки + Ромашки аптечной цветки",Календулы лекарственной цветки + Ромашки аптечной цветки,None,117 ₽,https://366.ru/p/elekasol-sbor-50g-33531/,https://media.366.ru/sys_master/product/h9c/h63/9718578216990.png
"Ольха соплодия фильтр-пакет 1,5 г 20 шт","Красногорсклексредства, РоссияОльхи соплодия",Ольхи соплодия,None,118 ₽,https://366.ru/p/olkhi-soplodija-f-p-1-5g-20-33537/,https://media.366.ru/sys_master/product/he6/h5f/9718579593246.png
"Бадан корневища фильтр-пакет 1,5 г 20 шт","Красногорсклексредства, РоссияБадана корневища",Бадана корневища,None,112 ₽,https://366.ru/p/badana-kshhe-f-p-1-5g-20-33535/,https://media.366.ru/sys_master/product/hb0/h7d/9718578675742.png
Дуба кора 75 г,"Красногорсклексредства, РоссияДуба кора",Дуба кора,None,116 ₽,https://366.ru/p/duba-kora-75g-30850/,https://media.366.ru/sys_master/product/h64/h04/9718575464478.png
Почечный чай ортосифон 50 г,"ИВАН-ЧАЙ, РоссияОртосифона тычиночного листья",Ортосифона тычиночного листья,None,144 ₽,https://366.ru/p/pochechnyj-chaj-50g-ortosifon-8159/,https://media.366.ru/sys_master/product/h83/h3a/9199761293342.jpg
Укропа плоды 50г,"ИВАН-ЧАЙ, РоссияУкропа огородного плоды",Укропа огородного плоды,None,59 ₽,https://366.ru/p/ukropa-plody-50g-10422/,https://media.366.ru/sys_master/product/h43/h87/8839171440670.jpg
Лекарственный препарат Анис обыкн плоды 50г,"ЗДОРОВЬЕ ФИРМА, РоссияАниса обыкновенного плоды",Аниса обыкновенного плоды,None,121 ₽,https://366.ru/p/anisa-obykn-plody-izmelch-pak-50-g-1-47710/,https://media.366.ru/sys_master/product/h1b/h74/8859332509726.jpg
Шалфей пастилки 12 шт,"ВАЛЕАНТ, Швейцария",None,None,240 ₽,https://366.ru/p/shalfej-pastilki-12-bad-189938/,https://media.366.ru/sys_master/product/h12/h2d/10036409303070.jpg
Шиповник плоды 50 г,"ЕВРОПЛАНТ, РоссияШиповника плоды",Шиповника плоды,None,106 ₽,https://366.ru/p/shipovnik-plody-50g-198004/,https://media.366.ru/sys_master/product/h39/he2/9718587850782.png
Полыни горькой трава 50 г,"Красногорсклексредства, РоссияПолыни горькой трава",Полыни горькой трава,None,104 ₽,https://366.ru/p/polyn-gorkaja-trava-50g-197774/,https://media.366.ru/sys_master/product/haf/h22/9718586015774.png
Эфилипт Премиум натуральные эфирные масла 10 мл,"Белупо Лтд., Хорватия",None,None,618 ₽,https://366.ru/p/efilipt-premium-kompl-nat-ef-masel-10ml-206933/,https://media.366.ru/sys_master/product/h05/h0c/9476779278366.jpg
Хмеля соплодия 30 г,"ЛЕКРА-СЭТ, Россия",None,None,80 ₽,https://366.ru/p/soplodija-khmelja-obyknov-30g-204320/,https://media.366.ru/sys_master/product/hb7/h13/9211127169054.jpg
"ФармаЦветик детский травяной чай при простуде без сахара с 4 месяуев 1,5 г 20 шт","Красногорсклексредства, Россия",None,None,238 ₽,https://366.ru/p/detskij-travjanoj-chaj-farmacvetik-filtrpakety-pri-prostude-1-5g-n20-300230/,https://media.366.ru/sys_master/product/hcf/h9f/10035706953758.jpg
"Вита Верде имбирный чай L-карнитином фильтр пакетики 1,5 г 20 шт","Грин Сайд, Россия",None,None,129 ₽,https://366.ru/p/vita-verde-imbir-chaj-lkarn-f-p1-5g20-211302/,https://media.366.ru/sys_master/product/hd1/ha0/9900784517150.png
"ФармаЦветик детский травяной чай для животика без сахара с 1 месяца 1,5 г 20 шт","Красногорсклексредства, Россия",None,None,231 ₽,https://366.ru/p/detskij-travjanoj-chaj-farmacvetik-filtrpakety-dlja-zhivotika-1-5g-n20-300231/,https://media.366.ru/sys_master/product/h4c/h15/10035707412510.jpg
"ФармаЦветик детский травяной чай для спокойного сна без сахара с 4 месяцев 1,5 г 20 шт","Красногорсклексредства, Россия",None,None,237 ₽,https://366.ru/p/detskij-travjanoj-chaj-farmacvetik-filtrpakety-dlja-spokojnogo-sna-1-5g-n20-300233/,https://media.366.ru/sys_master/product/h16/h33/10035708330014.jpg
Вита Верде череда трава 50 г,"Грин Сайд, Россия",None,None,82 ₽,https://366.ru/p/vita-verde-chereda-trava-50g-211295/,
"Вита Верде имбирный чай классический фильтр пакетики 1,5 г 20 шт","Грин Сайд, Россия",None,None,129 ₽,https://366.ru/p/vita-verde-imbir-chaj-klass-f-p-1-5g20-211301/,https://media.366.ru/sys_master/product/h05/h96/9900784058398.png
"ФармаЦветик детский травяной чай для иммунитета без сахара с 4 месяцев 1,5 г 20 шт","Красногорсклексредства, Россия",None,None,238 ₽,https://366.ru/p/detskij-travjanoj-chaj-farmacvetik-filtrpakety-dlja-immuniteta-1-5g-n20-300232/,https://media.366.ru/sys_master/product/h55/h84/10035707871262.jpg
"Почечный чай фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияОртосифона тычиночного листья",Ортосифона тычиночного листья,None,124 ₽,https://366.ru/p/pochechnyj-chaj-f-p-1-5g-20-ortosifon-8161/,https://media.366.ru/sys_master/product/hb3/h82/8929521631262.jpg
Пустырника трава 50г,"ФАРМГРУПП, РоссияБерезы почки",Березы почки,None,33 ₽,https://366.ru/p/pustyrnik-trava-50g-bad-49302/,https://media.366.ru/sys_master/product/h28/hac/8817902288926.jpg
