Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Спазмекс таблетки 5 мг 30 шт,"Д-Р Р. ПФЛЕГЕР, ГерманияТроспия хлорид",Троспия хлорид,None,508 ₽,https://366.ru/p/spazmeks-tab-5mg-30-9609/,https://media.366.ru/sys_master/product/h61/hbd/8818081366046.jpg
Уролесан капли для приема внутрь 25 мл,"ГАЛИЧФАРМ, УкраинаДушицы обыкновенной травы экстракт+Клещевины обыкновенной семян масло+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты масло+Хмеля сопло",Душицы обыкновенной травы экстракт+Клещевины обыкновенной семян масло+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты масло+Хмеля сопло,None,437 ₽,https://366.ru/p/urolesan-kapli-d-pr-vnutr-flkap-25ml-10468/,https://media.366.ru/sys_master/product/hf6/h5b/8815853502494.jpg
Фитолизин паста 100 г,"АКРИХИН, ПольшаЭкстракты сгущенные растений + масла",Экстракты сгущенные растений + масла,None,662 ₽,https://366.ru/p/fitolizin-pasta-d-prig-susp-100g-10695/,https://media.366.ru/sys_master/product/h85/hda/9736960311326.jpg
Фурагин таблетки 30 шт,"ОБОЛЕНСКОЕ ФП, РоссияФуразидин",Фуразидин,None,278 ₽,https://366.ru/p/furaginobl-tab-50mg-30-10857/,https://media.366.ru/sys_master/product/h28/h6d/8821426880542.jpg
Фуразолидон таблетки 10 шт,"АНЖЕРО-СУДЖЕНСКИЙ ХФЗ, БеларусьФуразолидон",Фуразолидон,None,88 ₽,https://366.ru/p/furazolidon-tab-50mg-10-10865/,https://media.366.ru/sys_master/product/h16/h23/8815871098910.jpg
Фурадонин авексима таблетки 50мг N10,"ИРБИТСКИЙ ХФЗ, РоссияНитрофурантоин",Нитрофурантоин,None,103 ₽,https://366.ru/p/furadonin-tab-50mg-10-10862/,https://media.366.ru/sys_master/product/hfa/h83/8818674335774.jpg
Цистон таблетки 100 шт,"ХИМАЛАЙЯ, ИндияЭкстракты цветков двуплодника стебелькового + стеблей камнеломки язычковой + стеблей марены сердцелистной и др",Экстракты цветков двуплодника стебелькового + стеблей камнеломки язычковой + стеблей марены сердцелистной и др,None,679 ₽,https://366.ru/p/ciston-tab-100-11171/,https://media.366.ru/sys_master/product/h51/h84/8817394941982.jpg
Дальфаз ретард таблетки покрытые оболочкой 5мг N56,"САНОФИ, ФранцияАлфузозин",Алфузозин,None,1 969 ₽,https://366.ru/p/dalfaz-retard-tab-p-o-5mg-56-12721/,https://media.366.ru/sys_master/product/hf3/hb3/8817407197214.jpg
Спазмекс таблетки 15 мг 30 шт,"Д-Р Р. ПФЛЕГЕР, ГерманияТроспия хлорид",Троспия хлорид,None,591 ₽,https://366.ru/p/spazmeks-tab-p-pl-ob-15mg-30-13075/,https://media.366.ru/sys_master/product/h43/h53/8815916056606.jpg
Импаза таблетки 20 шт,"МАТЕРИА МЕДИКА, РоссияАнтитела к эндотелиальной NO-синтазе",Антитела к эндотелиальной NO-синтазе,None,681 ₽,https://366.ru/p/impaza-tab-20-13438/,https://media.366.ru/sys_master/product/hd7/h07/8817414045726.jpg
Калимин 60 Н таблетки 60 мг 100 шт,"ТЕВА, ГерманияПиридостигмина бромид",Пиридостигмина бромид,None,864 ₽,https://366.ru/p/kalimin-60-n-tab-60mg-100-13582/,https://media.366.ru/sys_master/product/hec/h2d/8818175442974.jpg
Доксазозин таблетки 2 мг 20 шт,"Белупо Лтд., РоссияДоксазозин",Доксазозин,None,197 ₽,https://366.ru/p/doksazozin-tab-2mg-20-13999/,https://media.366.ru/sys_master/product/h6c/ha0/9188876550174.jpg
Фурамаг капсулы 50 мг 30 шт,"ОЛАЙНФАРМ, ЛатвияФуразидин",Фуразидин,None,904 ₽,https://366.ru/p/furamag-kaps-50mg-30-14203/,https://media.366.ru/sys_master/product/h31/h71/8817419517982.jpg
Уро-ваксом капсулы 6 мг 30 шт,"АСТЕЛЛАС ФАРМА, ШвейцарияЛизат бактерий [Esсheriсhia сoli]",Лизат бактерий [Esсheriсhia сoli],None,1 586 ₽,https://366.ru/p/urovaksom-kaps-6mg-30-15545/,https://media.366.ru/sys_master/product/h9d/he3/8815952461854.jpg
Пенестер таблетки покрытые оболочкой 5мг N30,"САНОФИ, ЧехияФинастерид",Финастерид,None,552 ₽,https://366.ru/p/penester-tab-p-pl-ob-5mg-30-16547/,https://media.366.ru/sys_master/product/hdf/h5b/8815963308062.jpg
Фурадонин таблетки 100 мг 20 шт,"ОЛАЙНФАРМ, ЛатвияНитрофурантоин",Нитрофурантоин,None,267 ₽,https://366.ru/p/furadonin-tab-100mg-20-18481/,https://media.366.ru/sys_master/product/h42/h37/8818674630686.jpg
Аллопуринол таблетки 300 мг 30 шт,"ЭГИС, ВенгрияАллопуринол",Аллопуринол,None,152 ₽,https://366.ru/p/allopurinolegis-tab-300mg-30-18538/,https://media.366.ru/sys_master/product/h5c/h0c/8818360320030.jpg
Верона капсулы 20 шт,"Herbion, ПакистанЯкорцев стелющихся травы экстракт",Якорцев стелющихся травы экстракт,None,429 ₽,https://366.ru/p/verona-kaps-20-20592/,https://media.366.ru/sys_master/product/hc6/h98/8816003088414.jpg
Дальфаз СР Ретард таблетки 10 мг 30 шт,"САНОФИ, ФранцияАлфузозин",Алфузозин,None,2 068 ₽,https://366.ru/p/dalfaz-sr-retard-tab-10mg-30-20604/,https://media.366.ru/sys_master/product/h18/h91/8856737284126.jpg
Простатилен суппозитории ректальные 30 мг 5 шт,"ЦИТОМЕД МБНПК, РоссияПростаты экстракт",Простаты экстракт,None,485 ₽,https://366.ru/p/prostatilen-supp-rekt-5-21560/,https://media.366.ru/sys_master/product/ha5/h83/8818515607582.jpg
Афала таблетки для рассасывания 100 шт,"МАТЕРИА МЕДИКА, РоссияАнтитела к простатоспецифическому антигену аффинно очищенные",Антитела к простатоспецифическому антигену аффинно очищенные,None,661 ₽,https://366.ru/p/afala-tab-d-rassasyvanija-100-23203/,https://media.366.ru/sys_master/product/h5a/h6b/8817499340830.jpg
Простанорм экстракт жидкий 100 мл,"ФАРМВИЛАР, РоссияЗверобоя продырявленного трава+Золотарника канадского трава+Солодки корни+Эхинацеи пурпурной корневища с корнями",Зверобоя продырявленного трава+Золотарника канадского трава+Солодки корни+Эхинацеи пурпурной корневища с корнями,None,284 ₽,https://366.ru/p/prostanorm-ekstrakt-zhid-100ml-23451/,https://media.366.ru/sys_master/product/hf2/hd5/8818506432542.jpg
Везикар таблетки 5 мг 30 шт,"АСТЕЛЛАС ФАРМА, НидерландыСолифенацин",Солифенацин,None,799 ₽,https://366.ru/p/vezikar-tab-p-o-5mg-30-25253/,https://media.366.ru/sys_master/product/hcb/h2b/8817526210590.jpg
Витапрост таблетки покрытые кишечнорастворимой оболочкой 20 мг 20 шт,"НИЖФАРМ, РоссияПростаты экстракт",Простаты экстракт,None,1 666 ₽,https://366.ru/p/vitaprost-tab-p-kishechnorastv-ob-20mg-20-25804/,https://media.366.ru/sys_master/product/hd0/h2d/10106772553758.png
Витапрост Форте суппозитории ректальные 20 мг 10 шт,"НИЖФАРМ, РоссияПростаты экстракт",Простаты экстракт,None,1 612 ₽,https://366.ru/p/vitaprost-forte-supp-rekt-10-25803/,https://media.366.ru/sys_master/product/h2b/hd8/10106771570718.png
Трибестан таблетки 250 мг 60 шт,"СОФАРМА, БолгарияЯкорцев стелющихся травы экстракт",Якорцев стелющихся травы экстракт,None,2 190 ₽,https://366.ru/p/tribestan-tab-p-o-250mg-60-28017/,https://media.366.ru/sys_master/product/h5a/h5f/8816128819230.jpg
Корнам таблетки 5мг N30,"САНДОЗ, СловенияТеразозин",Теразозин,None,992 ₽,https://366.ru/p/kornam-tab-5mg-30-28507/,https://media.366.ru/sys_master/product/h5d/h48/8818405048350.jpg
Фурасол порошок для раствора100мг N15,"ОЛАЙНФАРМ, ЛатвияФуразидин",Фуразидин,None,638 ₽,https://366.ru/p/furasol-por-d-prig-rra-100-mg-15-30196/,https://media.366.ru/sys_master/product/hda/h4c/8818675089438.jpg
Витапрост Плюс суппозитории ректальные 10 шт,"НИЖФАРМ, РоссияПростаты экстракт",Простаты экстракт,None,2 035 ₽,https://366.ru/p/vitaprost-pljus-supp-rekt-10-30581/,https://media.366.ru/sys_master/product/haa/h20/10106780221470.png
Простатилен суппозитории ректальные 50 мг 10 шт,"ЦИТОМЕД МБНПК, РоссияПростаты экстракт",Простаты экстракт,None,992 ₽,https://366.ru/p/prostatilen-supp-rekt-50mg-10-30906/,https://media.366.ru/sys_master/product/h41/h9c/8818515836958.jpg
Андрогель гель для наружного применения 5 г 30 шт,"БЕЗЕН, БельгияТестостерон",Тестостерон,None,2 797 ₽,https://366.ru/p/androgel-d-naruzh-prim-1-5g-30-30995/,https://media.366.ru/sys_master/product/ha9/h65/9097067659294.png
Зидена таблетки 100 мг 1 шт,"ВАЛЕНТА+, РоссияУденафил",Уденафил,None,956 ₽,https://366.ru/p/zidena-tab-p-pl-ob-100mg-1-31210/,https://media.366.ru/sys_master/product/h5e/h6f/8816177643550.jpg
Зидена таблетки 100 мг 4 шт,"ВАЛЕНТА+, РоссияУденафил",Уденафил,None,2 357 ₽,https://366.ru/p/zidena-tab-p-pl-ob-100mg-4-31211/,https://media.366.ru/sys_master/product/h8f/h5a/8816178003998.jpg
Простатилен лиофилизат для приготовления раствора 5 мг 5 шт,"ЦИТОМЕД МБНПК, РоссияПростаты экстракт",Простаты экстракт,None,277 ₽,https://366.ru/p/prostatilen-liof-d-prig-rra-v-m-5mg-5-32109/,https://media.366.ru/sys_master/product/h2a/h5d/8818515378206.jpg
Сиалис таблетки 20 мг 2 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,2 659 ₽,https://366.ru/p/sialis-tab-p-pl-ob-20mg-2-32446/,https://media.366.ru/sys_master/product/h19/h97/8817603444766.jpg
Сиалис таблетки 20 мг 4 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,4 254 ₽,https://366.ru/p/sialis-tab-p-pl-ob-20mg-4-32447/,https://media.366.ru/sys_master/product/h06/h96/8816204677150.jpg
Сиалис таблетки 20 мг 1 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,1 332 ₽,https://366.ru/p/sialis-tab-p-pl-ob-20mg-1-32514/,https://media.366.ru/sys_master/product/hae/hfd/8816207495198.jpg
Уротол таблетки 2 мг 56 шт,"САНОФИ, ЧехияТолтеродин",Толтеродин,None,783 ₽,https://366.ru/p/urotol-tab-p-pl-ob-2mg-56-33505/,https://media.366.ru/sys_master/product/h6f/hac/8825757859870.jpg
Уротол таблетки 1 мг 56 шт,"САНОФИ, ЧехияТолтеродин",Толтеродин,None,713 ₽,https://366.ru/p/urotol-tab-p-pl-ob-1mg-56-33506/,https://media.366.ru/sys_master/product/hc6/hd8/8818665848862.jpg
Кардура таблетки 4 мг 30 шт,"Пфайзер+, ГерманияДоксазозин",Доксазозин,None,724 ₽,https://366.ru/p/kardura-tab-4mg-30-33553/,https://media.366.ru/sys_master/product/h39/h95/8816240918558.jpg
Простанорм таблетки 200 мг 30 шт,"ФАРМВИЛАР, РоссияЗверобоя продырявленного трава+Золотарника канадского трава+Солодки корни+Эхинацеи пурпурной корневища с корнями",Зверобоя продырявленного трава+Золотарника канадского трава+Солодки корни+Эхинацеи пурпурной корневища с корнями,None,422 ₽,https://366.ru/p/prostanorm-tab-p-o-200mg-30-33944/,https://media.366.ru/sys_master/product/h07/hed/8818295635998.jpg
Леспефрил раствор для приема внутрь флакон 100 мл,"ВИФИТЕХ, РоссияЛеспедезы двухцветной побеги",Леспедезы двухцветной побеги,None,279 ₽,https://366.ru/p/lespefril-rr-d-priema-vnutr-fl-100ml-34089/,https://media.366.ru/sys_master/product/h4d/ha9/8816267395102.jpg
Блемарен таблетки шипучие 80 шт,"ЭСПАРМА ГМБХ, ГерманияНатрия цитрат",Натрия цитрат,None,1 524 ₽,https://366.ru/p/blemaren-ship-tab-80-34663/,https://media.366.ru/sys_master/product/hed/h62/9650500927518.png
Дриптан таблетки 5 мг 30 шт,"Abbott Laboratories EPD, ФранцияОксибутинин",Оксибутинин,None,1 010 ₽,https://366.ru/p/driptan-tab-5mg-30-35009/,https://media.366.ru/sys_master/product/h4d/h41/9604822007838.jpg
Сиалис таблетки 20 мг 8 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,7 771 ₽,https://366.ru/p/sialis-tab-p-pl-ob-20mg-8-35111/,https://media.366.ru/sys_master/product/h4c/he1/8818208243742.jpg
Левитра таблетки 20 мг 1 шт,"БАЙЕР, ГерманияВарденафил",Варденафил,None,1 289 ₽,https://366.ru/p/levitra-tab-p-o-20mg-1-35402/,https://media.366.ru/sys_master/product/h05/hef/8839554433054.jpg
Сиалис таблетки 5 мг 28 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,7 015 ₽,https://366.ru/p/sialis-tab-p-pl-ob-5mg-28-35519/,https://media.366.ru/sys_master/product/h54/h4b/8817657380894.jpg
Сиалис таблетки 5 мг 14 шт,"Lilly France, ИспанияТадалафил",Тадалафил,None,3 983 ₽,https://366.ru/p/sialis-tab-p-pl-ob-5mg-14-35518/,https://media.366.ru/sys_master/product/ha9/h24/8816345907230.jpg
Фуразолидон таблетки 50 мг 20 шт,"АНЖЕРО-СУДЖЕНСКИЙ ХФЗ, БеларусьФуразолидон",Фуразолидон,None,153 ₽,https://366.ru/p/furazolidon-tab-50mg-20-35534/,https://media.366.ru/sys_master/product/h07/h07/8817657741342.jpg
Простамол Уно капсулы 320мг N60,"Berlin-Chemie, ГерманияПальмы ползучей плодов экстракт",Пальмы ползучей плодов экстракт,None,1 627 ₽,https://366.ru/p/prostamol-uno-kaps-320mg-60-35808/,https://media.366.ru/sys_master/product/h4e/h62/8818210766878.jpg
Простамол Уно капсулы 320мг N30,"Berlin-Chemie, ГерманияПальмы ползучей плодов экстракт",Пальмы ползучей плодов экстракт,None,1 014 ₽,https://366.ru/p/prostamol-uno-kaps-320mg-30-35831/,https://media.366.ru/sys_master/product/hed/h9e/8820142964766.jpg
